codigo,descricao,tipo_operacao,gera_credito_ibs,gera_credito_cbs,primeira_etapa_cadeia
2204,"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio",ENTRADA,true,true,false
2205,"Anulação de valor relativo à prestação de serviço de comunicação",ENTRADA,true,true,false
2206,"Anulação de valor relativo à prestação de serviço de transporte",ENTRADA,true,true,false
2207,"Anulação de valor relativo à venda de energia elétrica",ENTRADA,true,true,false
2208,"Devolução de produção do estabelecimento, remetida em transferência",ENTRADA,true,true,false
2209,"Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência",ENTRADA,true,true,false
2212,"Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).",ENTRADA,true,true,false
2213,"Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo.",ENTRADA,false,false,false
2214,"Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo.",ENTRADA,true,true,false
2215,"Devolução de fornecimento de produção do estabelecimento de ato cooperativo",ENTRADA,true,true,false
2216,"Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo",ENTRADA,true,true,false
2250,"COMPRAS DE ENERGIA ELÉTRICA",ENTRADA,true,true,false
2251,"Compra de energia elétrica para distribuição ou comercialização",ENTRADA,true,true,false
2252,"Compra de energia elétrica por estabelecimento industrial",ENTRADA,true,true,false
2253,"Compra de energia elétrica por estabelecimento comercial",ENTRADA,true,true,false
2254,"Compra de energia elétrica por estabelecimento prestador de serviço de transporte",ENTRADA,true,true,false
2255,"Compra de energia elétrica por estabelecimento prestador de serviço de comunicação",ENTRADA,true,true,false
2256,"Compra de energia elétrica por estabelecimento de produtor rural",ENTRADA,true,true,false
2257,"Compra de energia elétrica para consumo por demanda contratada",ENTRADA,true,true,false
2301,"Aquisição de serviço de comunicação para execução de serviço da mesma natureza",ENTRADA,true,true,false
2302,"Aquisição de serviço de comunicação por estabelecimento industrial",ENTRADA,true,true,false
2303,"Aquisição de serviço de comunicação por estabelecimento comercial",ENTRADA,true,true,false
2304,"Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte",ENTRADA,true,true,false
2305,"Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica",ENTRADA,true,true,false
2306,"Aquisição de serviço de comunicação por estabelecimento de produtor rural",ENTRADA,true,true,false
2350,"AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE",ENTRADA,true,true,false
2351,"Aquisição de serviço de transporte para execução de serviço da mesma natureza",ENTRADA,true,true,false
2352,"Aquisição de serviço de transporte por estabelecimento industrial",ENTRADA,true,true,false
2353,"Aquisição de serviço de transporte por estabelecimento comercial",ENTRADA,true,true,false
2354,"Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação",ENTRADA,true,true,false
2355,"Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica",ENTRADA,true,true,false
2356,"Aquisição de serviço de transporte por estabelecimento de produtor rural",ENTRADA,true,true,false
2401,"Compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2403,"Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2406,"Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2407,"Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2408,"Transferência para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2409,"Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
2410,"Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária",ENTRADA,true,true,false
